Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Sno_x,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18,Sno_y,Population,Rural population,Urban population,Area,Density,Gender Ratio
1,30-01-2020,6:00 PM,Kerala,1,0,0,0,1,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
2,31-01-2020,6:00 PM,Kerala,1,0,0,0,1,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
3,01-02-2020,6:00 PM,Kerala,2,0,0,0,2,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
4,02-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
5,03-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
6,04-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
7,05-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
8,06-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
9,07-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
10,08-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
11,09-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
12,10-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
13,11-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
14,12-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
15,13-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
16,14-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
17,15-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
18,16-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
19,17-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
20,18-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
21,19-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
22,20-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
23,21-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
24,22-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
25,23-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
26,24-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
27,25-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
28,26-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
29,27-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
30,28-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
31,29-02-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
32,01-03-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
33,02-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
34,02-03-2020,6:00 PM,Kerala,3,0,0,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
35,02-03-2020,6:00 PM,Delhi,1,0,0,0,1,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
36,03-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
37,03-03-2020,6:00 PM,Rajasthan,0,1,0,0,1,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
38,03-03-2020,6:00 PM,Kerala,3,0,3,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
39,03-03-2020,6:00 PM,Delhi,1,0,0,0,1,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
40,04-03-2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
41,04-03-2020,6:00 PM,Kerala,3,0,3,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
42,04-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
43,04-03-2020,6:00 PM,Delhi,1,0,0,0,1,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
44,04-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
45,04-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
46,05-03-2020,6:00 PM,Delhi,2,0,0,0,2,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
47,05-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,,,
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,,,
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,,,
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1,17,2547,207,147,42,2943,56333,2471,21072,374,49093,8,61095297,37469335,23625962,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,21,2638,430,101,70,3239,68998,273,12398,438,39048,2,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1,28,521,146,47,28,742,13527,510,5805,172,12128,16,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,,,
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,,,
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4,17,2547,207,147,42,2943,56333,2471,21072,374,49093,8,61095297,37469335,23625962,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5,21,2638,430,101,70,3239,68998,273,12398,438,39048,2,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1,28,521,146,47,28,742,13527,510,5805,172,12128,16,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
96,10-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,,,
98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,21,2638,430,101,70,3239,68998,273,12398,438,39048,2,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
99,11-03-2020,6:00 PM,Delhi,5,0,0,0,5,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
101,11-03-2020,6:00 PM,Kerala,17,0,3,0,17,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
102,11-03-2020,6:00 PM,Rajasthan,1,2,0,0,3,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
103,11-03-2020,6:00 PM,Telengana,1,0,0,0,1,,788,82,47,15,932,17358,802,7668,61,13315,,,,,,,
104,11-03-2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
105,11-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,,,
106,11-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
107,11-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,,,
108,11-03-2020,6:00 PM,Punjab,1,0,0,0,1,28,521,146,47,28,742,13527,510,5805,172,12128,16,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
109,11-03-2020,6:00 PM,Karnataka,4,0,0,0,4,17,2547,207,147,42,2943,56333,2471,21072,374,49093,8,61095297,37469335,23625962,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973
